"lp","cond","age","gender","jc1","jc2","jc3","jc4","jc5","rc1","rc2","rc3","rc4","rc5","gc1","gc2","gc3","gc4","gc5","cm1","cm2","cm3","cm4","cm5","jc_mean","rc_mean","gc_mean","cm_mean"
49,"baseline",28,"k",3,3,3,1,1,4,4,4,3,5,4,3,3,2,4,5,4,4,3,4,2.2,4,3.2,4
50,"meaninglessness",27,"k",4,3,3,3,5,4,3,3,4,4,5,4,3,5,5,5,3,4,4,5,3.6,3.6,4.4,4.2
51,"baseline",39,"k",2,3,2,2,2,5,5,5,5,5,1,1,1,1,1,5,3,5,5,5,2.2,5,1,4.6
52,"meaninglessness",39,"m",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
53,"meaninglessness",21,"k",1,2,2,1,2,4,4,4,3,3,2,2,2,2,2,5,2,3,3,3,1.6,3.6,2,3.2
54,"powerlessness",39,"m",1,4,4,4,4,5,5,5,5,5,3,3,2,3,4,4,3,5,5,5,3.4,5,3,4.4
55,"powerlessness",44,"m",4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3.8,4,4,3.6
56,"baseline",32,"m",4,4,4,4,4,4,5,5,4,5,5,5,5,5,5,5,4,5,5,4,4,4.6,5,4.6
57,"powerlessness",44,"m",5,5,5,5,5,2,5,4,3,2,4,2,2,1,5,4,4,5,4,5,5,3.2,2.8,4.4
58,"powerlessness",42,"m",2,3,3,3,3,4,4,4,3,3,3,4,3,3,3,3,3,4,3,4,2.8,3.6,3.2,3.4
59,"meaninglessness",22,"m",4,4,3,2,5,5,4,4,3,5,5,4,4,4,5,5,5,4,2,2,3.6,4.2,4.4,3.6
60,"meaninglessness",28,"k",2,2,2,2,3,4,4,3,3,4,4,4,3,3,4,4,2,3,3,4,2.2,3.6,3.6,3.2
61,"powerlessness",29,"m",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
62,"baseline",34,"m",4,4,3,2,2,4,4,3,2,3,4,2,2,3,4,4,2,4,3,3,3,3.2,3,3.2
63,"powerlessness",23,"m",2,2,2,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,2.4,3,3.4,3
64,"baseline",39,"m",5,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.8,3,3,3
65,"baseline",24,"k",1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1.8,1
66,"meaninglessness",33,"k",1,1,1,1,1,5,5,5,5,5,3,5,5,3,4,4,5,5,5,5,1,5,4,4.8
67,"baseline",39,"k",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
68,"meaninglessness",41,"m",5,5,5,4,5,2,5,5,1,4,5,5,5,2,5,5,1,5,2,5,4.8,3.4,4.4,3.6
69,"meaninglessness",32,"k",2,2,3,2,3,4,4,3,4,4,4,3,3,3,4,4,3,4,3,4,2.4,3.8,3.4,3.6
70,"baseline",31,"k",4,4,4,3,4,4,3,4,4,4,4,3,4,4,4,4,3,5,4,3,3.8,3.8,3.8,3.8
71,"powerlessness",35,"m",2,2,4,1,3,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,2.4,5,5,4.6
72,"baseline",36,"m",3,3,4,3,2,4,3,3,2,3,4,3,3,3,2,2,3,3,2,3,3,3,3,2.6
