"jc_mean","lack_control","woj","weights"
4,6,"śląskie",0.672151217930081
4.6,6,"kujawsko-pomorskie",0.961093376290395
5,6,"kujawsko-pomorskie",0.809181678679964
4.33333333333333,7,"kujawsko-pomorskie",0.972024685319078
4.5,6,"kujawsko-pomorskie",0.872402417472603
5,5,"kujawsko-pomorskie",0.525600581097862
2.16666666666667,1,"zachodniopomorskie",1.03550071182499
999,4,"zachodniopomorskie",0.989783318191232
2,7,"zachodniopomorskie",0.995864975554401
5,7,"zachodniopomorskie",1.0971074959395
1,5,"zachodniopomorskie",0.726479349415934
2,1,"zachodniopomorskie",0.851783017005244
2,1,"zachodniopomorskie",2.30941565021965
1.66666666666667,3,"zachodniopomorskie",1.07494992942244
2.33333333333333,3,"zachodniopomorskie",1.14232966431005
2.66666666666667,2,"zachodniopomorskie",0.672605164207782
2.16666666666667,1,"zachodniopomorskie",0.962100797478185
1.66666666666667,1,"zachodniopomorskie",0.978652297049488
2.16666666666667,4,"zachodniopomorskie",0.923697225636125
2.5,3,"zachodniopomorskie",0.989783318191232
2.16666666666667,2,"zachodniopomorskie",0.888340977966661
999,4,"kujawsko-pomorskie",1.67530664618333
4,2,"kujawsko-pomorskie",0.842985296053443
4,3,"kujawsko-pomorskie",0.788489420020096
3.75,3,"kujawsko-pomorskie",1.16520154738277
4.6,3,"kujawsko-pomorskie",1.2419898053852
4,2,"zachodniopomorskie",1.02599952100245
4,6,"zachodniopomorskie",0.896608177093161
5,3,"zachodniopomorskie",1.07875882156074
4,6,"zachodniopomorskie",0.667166000949519
5,5,"zachodniopomorskie",2.58002237141439
3,999,"kujawsko-pomorskie",0.655195748614597
3,4,"kujawsko-pomorskie",0.842985296053443
999,999,"kujawsko-pomorskie",1.16131329970837
2,4,"kujawsko-pomorskie",0.791129398529298
2.6,4,"kujawsko-pomorskie",0.945333969814062
3.5,4,"zachodniopomorskie",1.02599952100245
999,5,"zachodniopomorskie",0.896608177093161
3.66666666666667,2,"zachodniopomorskie",1.07875882156074
3.83333333333333,6,"zachodniopomorskie",1.91239636529306
3.66666666666667,6,"zachodniopomorskie",0.900076594546892
2.5,2,"zachodniopomorskie",1.02599952100245
2.83333333333333,3,"zachodniopomorskie",0.962604970401865
2.83333333333333,4,"zachodniopomorskie",0.962284737448409
2.66666666666667,3,"zachodniopomorskie",0.747919177101448
2.5,2,"zachodniopomorskie",0.900076594546892
4.33333333333333,4,"kujawsko-pomorskie",0.931811536771662
5,2,"kujawsko-pomorskie",1.07260422078959
4.83333333333333,4,"kujawsko-pomorskie",0.809673813401002
5,4,"kujawsko-pomorskie",0.863486086582223
4.75,4,"kujawsko-pomorskie",0.810667400869059
3.33333333333333,3,"zachodniopomorskie",0.825478079003979
2.83333333333333,4,"zachodniopomorskie",0.879261748078713
3.16666666666667,4,"zachodniopomorskie",0.924259007357633
3.33333333333333,5,"zachodniopomorskie",0.948835486098765
4.16666666666667,5,"zachodniopomorskie",0.931945108019688
5,2,"kujawsko-pomorskie",0.7258381319561
3.83333333333333,2,"kujawsko-pomorskie",0.975677985730921
4.66666666666667,1,"kujawsko-pomorskie",0.783713285709143
4,2,"kujawsko-pomorskie",0.854600244341571
4,2,"kujawsko-pomorskie",0.658141846008573
4,4,"kujawsko-pomorskie",0.798256033320718
